"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","basin","Plate","Trilobita","Brachiopoda","Mollusca","Echinodermata"
"1",506.913043478261,11.7041,0.868945657490223,10.1053001761377,0.877576591229744,0.921047734407213,107.884,23,6,2,"Aktas",1,0,0,0,0,0,0,100,402,102,12,0,0
"2",493.4,10.6224,0.906215709146868,9.74043713454479,0.888370139100183,0.928756742766832,92.842,88,0,2,"Bestogai",2,0,0,0,2.27272727272727,0,97.7272727272727,0,402,118,14,0,0
"3",493.459523809524,9.5054,0.922304520261295,11.9392732796486,0.918672494811615,0.94939914126451,101.508,21,1.25,1,"Bison Creek",4,0,4.76190476190476,9.52380952380952,38.0952380952381,47.6190476190476,0,0,101,104,0,0,0
"4",508.925925925926,9.2358,0.5507195465604,2.74115803695068,0.326603115368494,0.472574220766831,22.538,27,2,2,"Burgess Shale",1,0,0,0,0,100,0,0,127,12,8,0,3
"5",522.6,2.201,0.898126222602363,11.7790864295125,0.705180852130326,0.737675438596491,14.202,25,5,3,"Campito",2,0,0,4,0,96,0,0,101,15,1,0,0
"6",516.153333333333,4.0446,0.944214591364629,17.379469387007,0.938576318414751,0.958965874311899,52.622,75,20.5,2,"Carrara",4,0,10.6666666666667,86.6666666666667,1.33333333333333,1.33333333333333,0,0,101,117,0,0,0
"7",497.795714285714,4.6542,0.923753401813325,16.5869162547384,0.944882368755398,0.960466775115342,58.552,140,20.5,6,"Deadwood",3,0,3.57142857142857,90,0,6.42857142857143,0,0,101,148,23,0,0
"8",508.719230769231,2.7802,0.907457743458453,13.8270536868967,0.862836651124209,0.896231959198352,24.412,52,15.4,3,"Emigrant",1,0,0,0,0,100,0,0,101,40,0,0,0
"9",494.65,5.4546,0.872067142761712,7.02851599295844,0.736589756531738,0.811402971531393,31.308,27,0,3,"Franconia",2,0,0,3.7037037037037,0,96.2962962962963,0,0,101,31,3,2,0
"10",501.08025,8.8261,0.934846292411395,14.7155682539617,0.941313803918928,0.964573958466652,113.704,200,15.6,6,"Huaqiao",1,0,0,0,0,0,100,0,611,371,3,0,0
"11",497.647826086957,4.3372,0.926122060078863,14.4435834593515,0.883187756975793,0.926003928437404,47.988,46,7.60000000000002,2,"Huayansi",1,0,0,0,0,0,100,0,611,78,0,0,0
"12",511.669117647059,5.8053,0.890166773180961,8.53176486872124,0.796308388211828,0.841445771262169,40.808,68,5.5,3,"Kaili",2,0,0,0,0,2.94117647058824,97.0588235294118,0,611,66,0,0,3
"13",494.65,4.2985,0.719552584709165,5.45183250132445,0.534120625954713,0.67166968502258,17.798,44,0,1,"Lampazar",1,0,0,0,0,100,0,0,202,22,0,0,0
"14",493.417123287671,5.2347,0.850916735815482,8.05647144573188,0.761685413385545,0.83278735977199,33.466,73,1.25,2,"Machari",1,0,0,0,0,100,0,0,604,45,0,0,0
"15",493.908,6.6497,0.910271244335407,9.93786608159862,0.862576199063997,0.912379796948614,56.08,25,6.35000000000002,1,"Ogon'or",1,0,0,0,0,0,100,0,401,60,0,0,0
"16",494.983783783784,9.9654,0.952520708428452,14.6734304094523,0.941723938350354,0.964190245165783,131.476,37,12.35,3,"Rabbitkettle",1,0,0,0,0,100,0,0,101,189,0,0,0
"17",503.054761904762,5.2592,0.933010886496586,16.6460229459931,0.926627377883915,0.948280549813292,70.244,84,13.6,5,"Shallow Bay",4,0,0,5.95238095238095,13.0952380952381,33.3333333333333,47.6190476190476,0,101,161,7,0,0
"18",493.4,5.9167,0.9282863830604,14.6483389361081,0.898869673079114,0.936104867297191,71.856,32,0,3,"Shenjiawan",2,0,0,0,0,6.25,93.75,0,611,98,0,0,0
"19",507,4.1163,0.750733269403098,3.98761183449145,0.497941997914366,0.600634813549024,12.39,27,0,1,"Tindall Limestone",1,0,0,100,0,0,0,0,801,5,8,0,0
"20",494.65,5.2851,0.867390252438944,9.65227854866242,0.813875546475956,0.886122193289981,41.288,22,0,1,"Warrior",2,0,0,95.4545454545455,4.54545454545455,0,0,0,101,39,4,0,0
"21",507.027777777778,5.0266,0.869835173611651,11.5322057913238,0.75493451334985,0.815064009037146,46.648,27,3.25,6,"Wheeler",4,0,0,59.2592592592593,0,7.40740740740741,22.2222222222222,11.1111111111111,101,46,8,0,2
"22",497.653846153846,13.1841,0.92937253674467,12.6759731470491,0.933520579929976,0.958157475035647,153.4,104,9.60000000000002,3,"Zhumabai",2,0,0,0,0,0,97.1153846153846,2.88461538461538,402,255,30,0,0
