"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","basin","Plate","Trilobita","Brachiopoda","Mollusca","Echinodermata"
"1",445.319230769231,1.6104,0.912250760251611,25.4917644022644,0.804149473684211,0.823108771929825,15.376,26,2.90000000000003,5,"Aerina",2,88.4615384615385,0,11.5384615384615,0,0,0,0,301,1,17,0,0
"2",441.21875,3.4763,0.903748806801973,14.0968019998263,0.871092819402819,0.904750797068429,34.41,48,7.75,6,"Becscie",2,43.75,0,0,0,56.25,0,0,101,25,25,0,2
"3",450.659375,5.4699,0.81955093815854,8.762268001004,0.578775177171244,0.703813708479297,40.484,32,2.89999999999998,3,"Bellevue",1,0,0,0,0,100,0,0,101,8,19,15,13
"4",446.6,8.3704,0.851457348157623,10.2578940376538,0.671730213207574,0.783736236789526,79.534,26,0,3,"Bull Fork",3,3.84615384615385,80.7692307692308,0,0,15.3846153846154,0,0,101,3,85,5,5
"5",425.9,10.2432,0.893924401413344,14.5453879330352,0.930057467421556,0.948785235613976,127.984,44,2.64999999999998,8,"Cape Phillips",2,2.27272727272727,0,0,0,0,97.7272727272727,0,106,88,97,4,0
"6",450.692,6.6351,0.820326794517466,7.5940471663403,0.578264518302516,0.710471016646497,45.146,50,2.89999999999998,2,"Corryville",1,0,100,0,0,0,0,0,101,26,26,17,17
"7",448.27,5.2087,0.829088340057508,7.564326579552,0.584368316414453,0.688895330219949,31.962,40,3.19999999999999,1,"Dufton Shales",1,0,100,0,0,0,0,0,315,23,24,0,0
"8",444.615384615385,4.8731,0.861280895838946,9.70609755479408,0.844006281991058,0.893206384774538,36.716,104,7.75,6,"Ellis Bay",3,90.3846153846154,0,7.69230769230769,0,1.92307692307692,0,0,101,8,60,3,0
"9",450.75,6.9204,0.840090583096499,7.84894654452897,0.65350979496605,0.768147110698581,48.086,67,0,4,"Fairview",2,1.49253731343284,98.5074626865672,0,0,0,0,0,101,8,39,21,24
"10",437.7125,2.5618,0.899596845719614,13.5819120716253,0.749531879699248,0.804448095238095,21.304,48,3.90000000000003,6,"Gun River",2,93.75,0,0,0,6.25,0,0,101,8,29,0,0
"11",450.270967741935,4.8118,0.919420886724082,14.6117440789613,0.926868486362769,0.953265623092002,55.622,31,6.05000000000001,4,"Husbergoya",2,96.7741935483871,3.2258064516129,0,0,0,0,0,301,37,31,2,2
