"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","Plate","Trilobita","Brachiopoda","Mollusca","Echinodermata"
"1",323.397448979592,6.2119,0.941600689038065,15.5845461367357,0.941646028881488,0.96434875663661,80.91,49,13.975,3,"Amsden",3,2.04081632653061,0,4.08163265306122,0,93.8775510204082,0,101,4,74,62,1
"2",353.137096774194,6.6773,0.87415506551897,11.2891870778821,0.883582133855184,0.926595940955788,64.376,93,4.25,3,"Banff",2,10.752688172043,0,89.247311827957,0,0,0,101,0,105,0,39
"3",331.155454545455,15.804,0.741247826864685,3.65950360647545,0.531089163177723,0.671396504176394,53.944,55,2.44999999999999,2,"Bangor Limestone",2,0,0,98.1818181818182,0,1.81818181818182,0,101,1,20,27,16
"4",379.9,3.6828,0.933075230696529,16.4349210367646,0.92338334202102,0.952902027415209,43.768,71,0,4,"Chemung",1,100,0,0,0,0,0,101,0,55,38,0
"5",346.426724137931,13.9216,0.833263613844606,6.64647766602229,0.777987890751942,0.836827811766412,84.934,58,5.34999999999997,5,"Fort Payne",2,27.5862068965517,0,0,72.4137931034483,0,0,101,2,15,4,87
"6",379.9,3.2108,0.856089162065235,8.54212307196945,0.701397709069396,0.792229827862196,18.704,44,0,1,"Frasnian moyen",1,100,0,0,0,0,0,315,0,24,0,0
"7",379.9,6.754,0.846636234312773,6.34969066852518,0.735500632277133,0.833952384626881,36.158,63,0,1,"Glen Aubrey",2,0,98.4126984126984,0,0,1.58730158730159,0,101,0,28,23,0
"8",322.474137931034,8.9589,0.815548761546742,7.53403837979242,0.802439019226169,0.879431346204014,59.404,29,6.5,2,"Glen Dean Limestone",2,6.89655172413793,0,93.1034482758621,0,0,0,101,0,24,0,22
"9",327.110714285714,6.7699,0.833324234531454,8.59561030446366,0.692429331821033,0.80044357755874,49.682,28,1.69999999999999,2,"Golconda",1,100,0,0,0,0,0,101,1,17,20,8
"10",343.9,3.657,0.779525019425808,4.78724319921373,0.595923312944366,0.713730196324144,12.64,35,0,1,"High Tor Limestone",2,0,5.71428571428571,94.2857142857143,0,0,0,315,0,10,4,0
"11",379.9,3.5053,0.88742591269577,11.7246719349266,0.871793200049548,0.918086001717581,28.97,31,0,3,"Ithaca",1,100,0,0,0,0,0,101,0,28,7,0
"12",381.327083333333,5.7415,0.912982166877502,12.7332047628561,0.904103837406475,0.938139553005571,60.358,24,5.25,7,"Kowala",4,8.33333333333333,0,4.16666666666667,54.1666666666667,0,33.3333333333333,305,2,14,44,8
"13",379.9,12.3938,0.898436861874084,9.92230311715132,0.868116245157756,0.921095130923723,112.462,40,0,5,"Lime Creek",1,100,0,0,0,0,0,101,0,129,31,0
"14",344.158974358974,13.7123,0.843273673776695,6.11886600665401,0.778147668910715,0.855245275666139,77.258,39,4.25,2,"Muldraugh",2,0,97.4358974358974,2.56410256410256,0,0,0,101,2,24,24,42
"15",361.261538461538,7.856,0.956569113192957,17.281049829484,0.950873746619435,0.971468406383715,118.548,26,15.4,3,"Pilton",2,88.4615384615385,0,11.5384615384615,0,0,0,315,6,63,76,1
"16",358.287209302326,5.0425,0.883597788493996,9.4950801611659,0.819840842380017,0.87945546929248,38.16,43,11.15,6,"Sappington",5,11.6279069767442,4.65116279069767,27.906976744186,34.8837209302326,20.9302325581395,0,101,0,45,2,5
"17",331.2,5.5795,0.839510851802206,6.32473485188561,0.717361939120444,0.812180543019932,28.628,117,0,1,"Second Abden Shale",1,0,0,100,0,0,0,313,0,16,25,1
"18",380.026,5.6089,0.886306591054103,11.7396468129609,0.888420257258784,0.931377455857166,53.632,25,3.15000000000003,3,"Shell Rock",2,88,0,0,12,0,0,101,0,57,2,0
"19",379.9,3.1798,0.799538266358995,5.60756639524198,0.681003197248228,0.775814292169818,12.064,29,0,2,"Sly Gap",1,100,0,0,0,0,0,101,0,13,0,0
"20",368.214406779661,6.7109,0.917787101641639,11.7542932432198,0.861192740819111,0.915489971055633,66.922,59,5.69999999999999,4,"Three Forks",3,47.4576271186441,0,1.69491525423729,0,50.8474576271186,0,101,0,106,4,0
"21",379.9,6.6019,0.830790798493042,6.67658661000665,0.718084405816409,0.819037764658259,37.072,60,0,1,"Triangle",2,0,98.3333333333333,0,0,1.66666666666667,0,101,0,32,24,0
"22",316.1925,6.4686,0.880799262624218,9.59073656059816,0.843286818352039,0.90536248197076,52.248,30,1.57500000000005,1,"Watahomigi",2,13.3333333333333,0,86.6666666666667,0,0,0,101,2,25,35,0
"23",379.9,12.5727,0.473315302716829,1.90647624240229,0.265426256417469,0.377094234796625,22.052,24,0,2,"Waterways",1,0,0,100,0,0,0,101,0,22,1,0
