"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","Plate","Echinodermata","Brachiopoda","Mollusca"
"1",134.488888888889,2.8405,0.902295643661671,15.6002788686521,0.838029067657932,0.885360880157383,29.208,45,5.10000000000002,9,"Agrio",3,46.6666666666667,0,51.1111111111111,2.22222222222222,0,291,0,0,50
"2",151.453684210526,9.6238,0.917875959570612,11.9726188140522,0.893130926849522,0.936853598850226,102.866,95,10.3,2,"Alcobaca",5,21.0526315789474,57.8947368421053,17.8947368421053,1.05263157894737,2.10526315789474,304,9,7,235
"3",158.269642857143,6.2687,0.878333283658039,10.180237796797,0.827113299667486,0.889445357849665,53.75,28,6.94999999999999,3,"Antalo",2,0,0,96.4285714285714,3.57142857142857,0,716,2,18,46
"4",158.45,6.8814,0.839599530604145,8.41394944086998,0.675762615253505,0.79108212460209,49.28,26,0,1,"Argiles a Lopha gregarea",2,84.6153846153846,0,0,0,15.3846153846154,305,1,2,53
"5",133.2,3.861,0.391944778758203,3.0556826848876,0.297780995846259,0.432588918128655,8.674,95,0,1,"Calcaires à spatangues",1,0,0,0,0,100,305,11,0,0
"6",162.648324022346,11.8225,0.883678204893291,8.97042161579134,0.809955118004375,0.88383989104859,96.606,179,4.5,6,"Chari",4,0.558659217877095,0,2.23463687150838,0.558659217877095,96.6480446927374,501,5,31,214
"7",162.95,13.9309,0.779152462817932,8.58066827517571,0.873369436301041,0.912815452228823,104.178,72,0,3,"Dhruma",3,2.77777777777778,43.0555555555556,54.1666666666667,0,0,503,32,36,93
"8",158.45,6.5905,0.912689331021222,13.9684553118501,0.916607906203477,0.948832801857012,77.06,36,0,2,"Hanifa",3,0,83.3333333333333,13.8888888888889,2.77777777777778,0,503,15,24,66
"9",149.995833333333,12.0271,0.843885120290533,6.62911455626662,0.747155502346986,0.837870185409912,72.562,120,10.3,2,"Kap Leslie",3,1.66666666666667,0,21.6666666666667,0,76.6666666666667,102,1,5,133
"10",138.3,4.1031,0.639241521578861,4.96035746748606,0.602813731608044,0.713180851400062,15.18,35,0,3,"Koprivnice",1,100,0,0,0,0,305,0,18,0
"11",162.95,13.7186,0.851271497185688,8.60941375295933,0.876514961445152,0.925603972997739,108.942,25,0,1,"Shuqra",1,100,0,0,0,0,503,8,37,76
"12",151.262903225806,6.4804,0.844495732290864,6.96601953441865,0.747238536996427,0.833170768928716,38.028,31,5.09999999999999,2,"Sobral",2,0,96.7741935483871,0,3.2258064516129,0,304,2,1,43
"13",161.226237623762,11.1047,0.89416744279124,10.1942733264016,0.869385516966031,0.924070787219049,102.144,101,5.19999999999999,5,"Tataouine",4,0.99009900990099,91.0891089108911,3.96039603960396,3.96039603960396,0,715,9,60,144
"14",162.95,7.0169,0.909839735025375,14.1508153737583,0.896568654628435,0.934957588177921,84.138,48,0,4,"Tuwaiq",4,4.16666666666667,43.75,50,2.08333333333333,0,503,16,49,77
