"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","Plate","Echinodermata","Brachiopoda","Mollusca"
"1",1.66981451612903,29.8666,0.902949876904275,14.2488428191972,0.924431525563706,0.950289290717899,407.424,62,0.8905,9,"Caloosahatchee",4,29.0322580645161,6.45161290322581,61.2903225806452,0,3.2258064516129,109,9,0,867
"2",3.644,25.0862,0.828715022344495,9.74810844170648,0.891961272468738,0.929268624811404,233.716,25,0.8,3,"Cayo Agua",2,4,0,96,0,0,230,0,0,267
"3",7.52167816091954,18.1068,0.86885005740155,10.8332483806157,0.849278971207255,0.907817746667121,187.246,87,3.827,8,"Cercado",4,68.9655172413793,0,12.6436781609195,9.19540229885057,9.19540229885057,252,2,0,465
"4",6.508375,6.7267,0.920456465513019,19.0786897317876,0.926880980597731,0.945540037781744,107.526,40,1.5,4,"Chagres Sandstone",3,5,0,77.5,0,17.5,230,0,0,192
"5",10.5213724489796,26.606,0.887724453968977,10.7552690403652,0.892866564717905,0.936929039064422,272.306,196,3,20,"Gatun",2,44.3877551020408,0,55.6122448979592,0,0,230,6,0,753
"6",5.69251470588235,20.5827,0.86999096019139,10.4168767250482,0.892430542161884,0.938430517763462,202.322,136,3.5,12,"Gurabo",4,41.9117647058824,0,33.8235294117647,16.9117647058824,7.35294117647059,252,4,0,541
"7",0.069,21.316,0.774370687245283,8.20426346837141,0.81747215729382,0.888467021578071,165.462,32,0,3,"Pamlico",2,75,0,25,0,0,109,1,0,206
"8",5.77078260869565,2.6841,0.923065417841423,18.67600296755,0.917880847924006,0.942004552289815,30.914,46,5.376,12,"Pisco",1,0,0,100,0,0,201,0,1,49
"9",8.64013333333333,3.6709,0.855828516017925,10.7305789166252,0.732928301441375,0.81575353220395,28.578,45,0.956999999999999,3,"Puerto Madryn",2,0,0,97.7777777777778,0,2.22222222222222,291,0,1,43
"10",2.9,18.069,0.876518490724897,11.932583236215,0.906487604370359,0.934398194416411,201.672,26,0,6,"Rio Banano",2,69.2307692307692,30.7692307692308,0,0,0,230,0,0,237
"11",7.604,5.5231,0.801644958197394,6.48048267176173,0.757080348242778,0.835229905695078,29.13,28,0,1,"Sisquoc",1,0,0,100,0,0,105,1,0,31
"12",9.427,7.7474,0.858836544423967,9.56900176759776,0.886457347951646,0.933719455668012,63.846,31,0,1,"Tachilni",1,0,0,100,0,0,125,0,0,77
"13",3.34861111111111,10.9312,0.950821975386357,17.7633126551057,0.946620995152155,0.963963382840918,176.912,72,1.372,15,"Tamiami",4,37.5,6.94444444444444,48.6111111111111,6.94444444444444,0,109,15,0,486
"14",1.6845,11.5055,0.813037309349598,7.40075165831854,0.822941103437681,0.893580600098249,77.156,28,0,1,"Toukoshan",1,0,0,100,0,0,611,0,0,86
"15",5.27158333333333,9.7215,0.89676225361834,14.7304861004492,0.962315281651093,0.978882598674441,125.902,48,5.376,5,"Tubar ",1,100,0,0,0,0,203,0,0,210
"16",1.66912,31.4076,0.871008585434098,10.8900201027114,0.893543427202057,0.937346679078816,330.006,25,0.3845,6,"Waccamaw",2,0,0,96,4,0,109,5,0,370
"17",3.75397058823529,14.6932,0.872121669315501,11.7755312374601,0.912013488490259,0.93820868989705,158.114,68,1.556,17,"Yorktown",4,20.5882352941176,1.47058823529412,76.4705882352941,0,1.47058823529412,109,10,3,283
