formation.name;Period;Age;AlphaForm;BetaSimForm;BetaWForm;GammaForm;CollpF;Duration;RefForm;Environments;Htaxa;maxGCD;medianGCD;madGCD
Abu Qada;Cretaceous;92.73846154;5.6241;0.891764558;13.24168081;60.214;39;5.2;6;2;2;194.72978;104.3448165;64.10329478
Aerina;Ordovician;445.3192308;1.6104;0.91225076;25.4917644;15.376;26;2.9;5;2;2;257.8725555;114.6677874;85.00085254
Aktas;Cambrian;506.9130435;11.7041;0.868945657;10.10530018;107.884;23;6;2;1;2;0;0;0
Alcobaca;Jurassic;151.4536842;9.6238;0.91787596;11.97261881;102.866;95;10.3;2;5;3;222.6477431;111.3238716;165.0486311
Almonacid de la Cuba;Jurassic;186.3;3.0102;0.899640772;10.61745938;21.256;24;0;2;1;2;0;0;0
Amb;Permian;266.5;7.5842;0.880052762;11.9129761;77.516;99;0;9;2;3;218.291123;102.8657662;63.40023628
Amsden;Carboniferous;323.397449;6.2119;0.941600689;15.58454614;80.91;49;13.975;3;3;4;687.3230676;269.6261997;168.4164529
Antalo;Jurassic;158.2696429;6.2687;0.878333284;10.1802378;53.75;28;6.95;3;2;3;216.0335116;109.6704341;67.6130417
Antelope Valley;Ordovician;467.3925197;5.647;0.95681586;18.6269635;85.704;127;15.55;10;5;4;453.8443741;178.9668861;100.2875334
Antimonio;Permian;266.5;8.1324;0.867094798;9.141850534;65.238;26;0;1;1;2;0;0;0
Aquia;Paleogene;57.25;7.295;0.843454847;10.18994329;63.342;44;0;5;4;1;239.3016982;111.3238716;91.48004273
Arcadia;Paleogene;24.07182857;17.8706;0.883885035;13.69087199;231.322;35;4.915;4;2;2;591.4706431;223.0623587;188.5072981
Argiles a Lopha gregarea;Jurassic;158.45;6.8814;0.839599531;8.413949441;49.28;26;0;1;2;3;0;0;0
Astoria;Neogene;13.789;10.6998;0.824543724;7.982917146;76.756;34;0;1;1;1;222.6477431;111.3238716;165.0486311
Banff;Carboniferous;353.1370968;6.6773;0.874155066;11.28918708;64.376;93;4.25;3;2;2;743.2977145;131.129029;193.1945212
